Team name,Played Rounds,Win Percent,Total Kills,Avg Kills,Avg Rank,Total points,Avg Points
SCB,12,8.3,121,10.08,4.5,170,14.17
たかし,28,14.3,225,8.04,4.64,335,11.96
どうぶつのもり,4,25.0,52,13.0,3.25,74,18.5
YAC,4,0.0,22,5.5,3.5,41,10.25
蒙古タンメン中西,4,0.0,17,4.25,5.5,28,7.0
鬼斬り,4,0.0,28,7.0,5.5,38,9.5
PerfectExecution,4,50.0,34,8.5,3.25,59,14.75
TBD,16,0.0,90,5.62,5.38,134,8.38
赤卵_,4,0.0,6,1.5,5.5,17,4.25
兵器ブリオン,8,12.5,48,6.0,4.5,79,9.88
NoName,4,25.0,35,8.75,3.5,56,14.0
脱走野郎Rチーム,4,0.0,27,6.75,4.0,44,11.0
照るteru坊主,4,0.0,23,5.75,6.25,30,7.5
しゃるめらAS,4,0.0,6,1.5,6.75,11,2.75
Toqeih Comp.,4,25.0,37,9.25,3.25,60,15.0
Voidoo dune,4,25.0,22,5.5,3.5,44,11.0
対策委員会,4,25.0,22,5.5,5.25,36,9.0
松竹梅,16,43.8,177,11.06,3.06,280,17.5
R.E.P.O.,4,0.0,33,8.25,4.25,48,12.0
EVO,4,0.0,17,4.25,5.75,26,6.5
ざるそば隊,4,0.0,34,8.5,4.75,48,12.0
雷帝_,4,25.0,30,7.5,4.25,49,12.25
ひやしねこねこ,4,0.0,39,9.75,2.5,64,16.0
Team Papago,4,0.0,26,6.5,4.5,41,10.25
Etranger,8,0.0,51,6.38,5.5,71,8.88
Pon De Ring,4,0.0,17,4.25,3.5,36,9.0
新装開園ネマランド,4,0.0,13,3.25,4.5,29,7.25
寿司飯重工 ,4,0.0,21,5.25,4.25,37,9.25
いねむりすとーむ,4,0.0,3,0.75,6.0,7,1.75
Sun,4,25.0,35,8.75,3.25,58,14.5
好きな素材発表ドラゴン,8,0.0,15,1.88,5.5,35,4.38
LUMIで来た,4,75.0,35,8.75,2.75,65,16.25
ちねりっぷるん,4,0.0,20,5.0,5.25,31,7.75
ツェアライセン,4,0.0,29,7.25,4.75,44,11.0
無敵昇竜,4,25.0,30,7.5,4.75,47,11.75
EGGNITE,4,25.0,46,11.5,2.75,72,18.0
メル現金化団,4,0.0,20,5.0,3.75,33,8.25
NTK,4,25.0,50,12.5,4.25,68,17.0
ぽんづき²,4,0.0,22,5.5,5.25,34,8.5
Portamento,4,0.0,9,2.25,7.75,11,2.75
